Contrib, m, n
0,-6,6
0.000644533957460407,-6,5
0.0011341985254100118,-6,4
0.002319413809177732,-6,3
0.006787584371314126,-6,2
0.012422591826679489,-6,1
0.02627880597054386,-6,0
0.,-6,-1
0.,-6,-2
0.,-6,-3
0.,-6,-4
0.,-6,-5
0.,-6,-6
-0.0006033716201835907,-5,6
0.,-5,5
0.000701338033264975,-5,4
0.0026145779551450324,-5,3
0.006662970790564269,-5,2
0.009354439273234063,-5,1
0.033924518182884944,-5,0
0.,-5,-1
0.,-5,-2
0.,-5,-3
0.,-5,-4
0.,-5,-5
0.,-5,-6
-0.0011117249315017968,-4,6
-0.0007964664541866171,-4,5
0.,-4,4
0.00201794482219665,-4,3
0.004823401700621354,-4,2
0.006578322689355077,-4,1
0.04598493014642824,-4,0
0.,-4,-1
0.,-4,-2
0.,-4,-3
0.,-4,-4
0.,-4,-5
0.,-4,-6
-0.003650751350497259,-3,6
-0.0033341010530862783,-3,5
-0.0020704510004609846,-3,4
0.,-3,3
0.002102710138759493,-3,2
0.006019507048154481,-3,1
0.06642654648344407,-3,0
0.,-3,-1
0.,-3,-2
0.,-3,-3
0.,-3,-4
0.,-3,-5
0.,-3,-6
-0.007299207216255843,-2,6
-0.00532988021774543,-2,5
-0.0034035786799328028,-2,4
-0.0018511144970423598,-2,3
0.,-2,2
0.008429974969905628,-2,1
0.10495754902418282,-2,0
0.,-2,-1
0.,-2,-2
0.,-2,-3
0.,-2,-4
0.,-2,-5
0.,-2,-6
-0.015801619251070168,-1,6
-0.017649870996617502,-1,5
-0.019220069142628405,-1,4
-0.019584764457285617,-1,3
-0.0162061836637372,-1,2
0.,-1,1
0.19414879667284538,-1,0
0.,-1,-1
0.,-1,-2
0.,-1,-3
0.,-1,-4
0.,-1,-5
0.,-1,-6
0.,0,6
0.,0,5
0.,0,4
0.,0,3
0.,0,2
0.,0,1
0.,0,0
0.,0,-1
0.,0,-2
0.,0,-3
0.,0,-4
0.,0,-5
0.,0,-6
0.,1,6
0.,1,5
0.,1,4
0.,1,3
0.,1,2
0.,1,1
0.19414879667284538,1,0
0.,1,-1
-0.0162061836637372,1,-2
-0.019584764457285617,1,-3
-0.019220069142628405,1,-4
-0.017649870996617495,1,-5
-0.015801619251070168,1,-6
0.,2,6
0.,2,5
0.,2,4
0.,2,3
0.,2,2
0.,2,1
0.10495754902418282,2,0
0.008429974969905628,2,-1
0.,2,-2
-0.00185111449704236,2,-3
-0.0034035786799328028,2,-4
-0.00532988021774543,2,-5
-0.007299207216255843,2,-6
0.,3,6
0.,3,5
0.,3,4
0.,3,3
0.,3,2
0.,3,1
0.06642654648344407,3,0
0.006019507048154481,3,-1
0.0021027101387594933,3,-2
0.,3,-3
-0.0020704510004609855,3,-4
-0.0033341010530862788,3,-5
-0.003650751350497259,3,-6
0.,4,6
0.,4,5
0.,4,4
0.,4,3
0.,4,2
0.,4,1
0.045984930146428245,4,0
0.0065783226893550775,4,-1
0.004823401700621354,4,-2
0.00201794482219665,4,-3
0.,4,-4
-0.0007964664541866171,4,-5
-0.0011117249315017968,4,-6
0.,5,6
0.,5,5
0.,5,4
0.,5,3
0.,5,2
0.,5,1
0.033924518182884944,5,0
0.009354439273234063,5,-1
0.006662970790564269,5,-2
0.0026145779551450324,5,-3
0.000701338033264975,5,-4
0.,5,-5
-0.0006033716201835907,5,-6
0.,6,6
0.,6,5
0.,6,4
0.,6,3
0.,6,2
0.,6,1
0.026278805970543852,6,0
0.012422591826679489,6,-1
0.006787584371314126,6,-2
0.0023194138091777337,6,-3
0.0011341985254100118,6,-4
0.000644533957460407,6,-5
0.,6,-6
