Contrib, m, n
0,-6,6
0.0006210993306633801,-6,5
0.0019096252208459933,-6,4
0.005538026365066082,-6,3
0.005353656641489896,-6,2
0.024771059786748307,-6,1
0.017930581622368824,-6,0
0.,-6,-1
0.,-6,-2
0.,-6,-3
0.,-6,-4
0.,-6,-5
0.,-6,-6
-0.0006023771426816465,-5,6
0.,-5,5
0.0016958492579776194,-5,4
0.0034193513880629613,-5,3
0.00444712201340741,-5,2
0.025652826686023013,-5,1
0.024307819207318383,-5,0
0.,-5,-1
0.,-5,-2
0.,-5,-3
0.,-5,-4
0.,-5,-5
0.,-5,-6
-0.0027465530172967375,-4,6
-0.0017763370409063415,-4,5
0.,-4,4
0.0013045697408516597,-4,3
0.006310199055086738,-4,2
0.021747585818309496,-4,1
0.03586355822837076,-4,0
0.,-4,-1
0.,-4,-2
0.,-4,-3
0.,-4,-4
0.,-4,-5
0.,-4,-6
-0.004222620309831225,-3,6
-0.00232984660695611,-3,5
-0.0014987366132366156,-3,4
0.,-3,3
0.006008102525994185,-3,2
0.01227085325834162,-3,1
0.05944133158791971,-3,0
0.,-3,-1
0.,-3,-2
0.,-3,-3
0.,-3,-4
0.,-3,-5
0.,-3,-6
-0.013830665773541353,-2,6
-0.013531999033021075,-2,5
-0.011032295506583625,-2,4
-0.005933412704044603,-2,3
0.,-2,2
0.005073770890857968,-2,1
0.11528374483157458,-2,0
0.,-2,-1
0.,-2,-2
0.,-2,-3
0.,-2,-4
0.,-2,-5
0.,-2,-6
-0.010410236144097324,-1,6
-0.012422951359901856,-1,5
-0.014960083246933376,-1,4
-0.017534450334552528,-1,3
-0.017332008829995797,-1,2
0.,-1,1
0.2814566794681512,-1,0
0.,-1,-1
0.,-1,-2
0.,-1,-3
0.,-1,-4
0.,-1,-5
0.,-1,-6
0.,0,6
0.,0,5
0.,0,4
0.,0,3
0.,0,2
0.,0,1
0.,0,0
0.,0,-1
0.,0,-2
0.,0,-3
0.,0,-4
0.,0,-5
0.,0,-6
0.,1,6
0.,1,5
0.,1,4
0.,1,3
0.,1,2
0.,1,1
0.2814566794681512,1,0
0.,1,-1
-0.01733200882999579,1,-2
-0.017534450334552528,1,-3
-0.014960083246933376,1,-4
-0.012422951359901853,1,-5
-0.010410236144097324,1,-6
0.,2,6
0.,2,5
0.,2,4
0.,2,3
0.,2,2
0.,2,1
0.11528374483157458,2,0
0.005073770890857968,2,-1
0.,2,-2
-0.005933412704044601,2,-3
-0.011032295506583625,2,-4
-0.013531999033021075,2,-5
-0.01383066577354135,2,-6
0.,3,6
0.,3,5
0.,3,4
0.,3,3
0.,3,2
0.,3,1
0.05944133158791971,3,0
0.01227085325834162,3,-1
0.0060081025259941835,3,-2
0.,3,-3
-0.0014987366132366156,3,-4
-0.00232984660695611,3,-5
-0.004222620309831225,3,-6
0.,4,6
0.,4,5
0.,4,4
0.,4,3
0.,4,2
0.,4,1
0.03586355822837076,4,0
0.021747585818309496,4,-1
0.006310199055086738,4,-2
0.0013045697408516593,4,-3
0.,4,-4
-0.001776337040906341,4,-5
-0.0027465530172967366,4,-6
0.,5,6
0.,5,5
0.,5,4
0.,5,3
0.,5,2
0.,5,1
0.024307819207318376,5,0
0.02565282668602302,5,-1
0.004447122013407409,5,-2
0.0034193513880629613,5,-3
0.001695849257977619,5,-4
0.,5,-5
-0.0006023771426816466,5,-6
0.,6,6
0.,6,5
0.,6,4
0.,6,3
0.,6,2
0.,6,1
0.01793058162236883,6,0
0.024771059786748307,6,-1
0.005353656641489894,6,-2
0.005538026365066085,6,-3
0.0019096252208459933,6,-4
0.0006210993306633802,6,-5
0.,6,-6
