Contrib, m, n
-0.48026600313975176,0,-1
-0.03403416716901483,0,-2
-0.007388695082359665,0,-3
-0.0033807401841588905,0,-4
-0.0021143319250518317,0,-5
-0.0015222513399958076,0,-6
-0.0011839247054189024,0,-7
-0.0009664406608806289,0,-8
-0.0008154162239749969,0,-9
-0.0007046684642627838,0,-10
-0.000620099588947111,0,-11
-0.0005534709554855534,0,-12
0.,1,-1
-0.0739394585504492,1,-2
-0.034614585606066235,1,-3
-0.011482483071712804,1,-4
-0.0050751583732964985,1,-5
-0.0029650092822851052,1,-6
-0.0020310901780576994,1,-7
-0.001522782235791115,1,-8
-0.0012083876888580676,1,-9
-0.0009968596886562576,1,-10
-0.0008457705760926343,1,-11
-0.0007329688514339999,1,-12
0.002455275509154891,2,-1
0.,2,-2
-0.024306723254494896,2,-3
-0.029427433746303445,2,-4
-0.014302992863391715,2,-5
-0.006742591465974835,2,-6
-0.0038299522179608405,2,-7
-0.002544417043437413,2,-8
-0.0018630517354676578,2,-9
-0.0014508922425267767,2,-10
-0.0011785361644445094,2,-11
-0.00098700275071034,2,-12
0.0016908212917285058,3,-1
0.003812323919105425,3,-2
0.,3,-3
-0.007779760766518097,3,-4
-0.02163673308803746,3,-5
-0.01546387724286498,3,-6
-0.00827505449559221,3,-7
-0.004715695489791883,3,-8
-0.003068263562024686,3,-9
-0.002206785416714995,3,-10
-0.0016947024268659232,3,-11
-0.0013608302292429616,3,-12
0.0012669759455784914,4,-1
0.002541270451429855,4,-2
0.004740580085927816,4,-3
0.,4,-4
-0.00241533076058777,4,-5
-0.013905154866100097,4,-6
-0.014878978044790613,4,-7
-0.009483430027563865,4,-8
-0.005609807150555896,4,-9
-0.003610359591118433,4,-10
-0.0025576078415212203,4,-11
-0.001941111471204278,4,-12
0.0010127155576453845,5,-1
0.0017797015826601242,5,-2
0.003375493733669803,5,-3
0.005116457802429432,5,-4
0.,5,-5
-0.0013668857996253718,5,-6
-0.0077568369694936004,5,-7
-0.012823255504772431,5,-8
-0.010141820511780204,5,-9
-0.0064623560418810184,5,-10
-0.00417528291456478,5,-11
-0.002920856780099469,5,-12
0.0008433591309843484,6,-1
0.0013534691007878884,6,-2
0.0023008312850184842,6,-3
0.004138282127240653,6,-4
0.004914509806743151,6,-5
0.,6,-6
-0.001670030213275941,6,-7
-0.0037782792526026257,6,-8
-0.009873706990137855,6,-9
-0.010069574494938562,6,-10
-0.00717714321602627,6,-11
-0.004755529168233808,6,-12
0.0007224208589329596,7,-1
0.0010867466085944888,7,-2
0.0016967544026744838,7,-3
0.0028342716584098017,7,-4
0.004734796445703727,7,-5
0.0042282167471682,7,-6
0.,7,-7
-0.0020111639586712538,7,-8
-0.0018290650642977333,7,-9
-0.0067440305398662114,7,-10
-0.00921660943381761,7,-11
-0.007623644729803176,7,-12
0.0006317255922882873,8,-1
0.0009051991209242147,8,-2
0.0013304167906229378,8,-3
0.002047317779895858,8,-4
0.0033715400886359975,8,-5
0.005053463224761438,8,-6
0.003249894173312635,8,-7
0.,8,-8
-0.0019618413423597796,8,-9
-0.0013214338658753084,8,-10
-0.0040757302261550344,8,-11
-0.0077114272109949904,8,-12
0.0005611881368684824,9,-1
0.0007741615366676975,9,-2
0.0010875738364322846,9,-3
0.001576555773144504,9,-4
0.0024103384481056404,9,-5
0.003881484266940659,9,-6
0.005006609666625605,9,-7
0.0022158035643104496,9,-8
0.,9,-9
-0.001564085883877185,9,-10
-0.0015269767741045875,9,-11
-0.002264947015243707,9,-12
0.0005047597756288654,10,-1
0.0006754061504670311,10,-2
0.0009159392502403965,10,-3
0.0012707808665539332,10,-4
0.0018279714546561867,10,-5
0.0027884982964237505,10,-6
0.004305654302647897,10,-7
0.004572172277880904,10,-8
0.0013372322615073603,10,-9
0.,10,-10
-0.0010435579630686071,10,-11
-0.001834401225126885,10,-12
